,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
120,an overview of coordinate descent algorithms for various optimization problems with different constraints is presented in .,[1 1 1 0 0],3,a recent survey of coordinate descent algorithms and their convergence can be found in .,[0 1 1 0 0],2,1,1,0
127,projector augmentedwave pseudopotentials and perdew-burke-ernzerhof gradient approximation to the exchange-correlation functional were used .,[1 1 1 0 0],3,the generalized gradient approximation parameterized by perdew-burkeernzerhof for the exchange-correlation functional was used .,[0 1 1 0 0],2,1,1,0
129,the scalar-relativistic ab-initio dft calculations were performed using the projector augmented wave .,[1 1 1 0 0],3,the dft calculations were carried out by using the projector augmented wave method implemented in the vienna ab initio simulation package .,[1 1 0 0 0],2,1,1,2
132,in this way it seems that the type of temporal description of physical processes we have at the classical level can not be seen as emerging from the quantum level of description .,[0 1 0 0 0],1,"in this way , it seems that we might be facing an intrinsically approximate feature in the description of the interaction of radiation and matter at the classical level .",[0 0 0 0 0],0,1,-1,1
137,"perturbation theory is a very powerful method that allows the very precise calculation of many observables within quantum field theory for small couplings λ , eg cross sections , etc .",[1 1 0 0 0],2,such an effective theory is known as chiral perturbation theory .,[0 1 0 0 0],1,1,1,0
165,"the particle-flow algorithm deployed by the cms collaboration aims to reconstruct and identify each individual particle in an event , with an optimised combination of information from the various elements of the cms detector .",[0 0 1 0 0],1,"the cms particle-flow event algorithm aims to reconstruct and identify each individual particle in an event , with an optimized combination of information from the various elements of the detector .",[0 0 0 0 0],0,1,-1,2
175,deep convolutional neural networks have been successful in many computer vision tasks including image classification .,[0 1 0 0 0],1,"deep neural networks have achieved impressive performance on tasks across a variety of domains , including vision .",[0 0 0 0 0],0,1,1,1
177,"subsequently , the attention mechanism gives rise to a significant performance boost to video captioning .",[0 1 0 0 0],1,"however , as shown in , the attention mechanism can further boost the performance of video captioning .",[0 0 0 0 0],0,1,1,1
178,removing optimization issues have been a reliable way of improving performance in deep neural networks .,[0 1 0 0 0],1,residual networks have enabled training of very deep neural networks .,[0 0 0 0 0],0,1,1,1
182,deep neural networks have shown tremendous success in several computer vision tasks in recent years .,[0 1 0 0 0],1,convolutional neural networks have shown its great effectiveness in computer vision tasks .,[0 0 0 0 0],0,1,-1,1
186,such leading-order and high-twist contributions from quark-quark double scattering essentially mix the quark and gluon fragmentation functions .,[0 0 1 0 0],1,such quark-quark double scattering processes also contribute to the semi-inclusive dis at twist-four .,[0 0 0 0 0],0,1,1,2
193,"motivated by its relevance , literally hundreds of clustering algorithms have been developed in the past decades .",[1 1 0 0 0],2,"an impressive number of graph clustering algorithms have been proposed , studied and compared over the past decades .",[0 1 0 0 0],1,1,1,0
197,"therefore , the dominant term is the first term .",[1 1 0 0 0],2,"the dominant term is the first term in gmax , a .",[0 1 0 0 0],1,1,-1,0
200,every eigenvector of a for which there is a non-zero expansion coefficient in this expansion must also lie in the physical subspace .,[1 1 1 0 0],3,"obviously , the eigenvector of d is the eigenvector of d2 .",[1 1 0 0 0],2,1,1,2
207,in particular string theory has been successful in providing a correct microscopic description of the entropy of various classes of black holes .,[1 1 0 0 0],2,string theory has been successful in accounting for the statistical entropy of many supersymmetric asymptotically flat black holes .,[0 1 0 0 0],1,1,-1,0
209,"the bogoliubov fermi pockets are protected by a z 2 invariant , which we have identified as the relative sign of the pfaffian of the unitarily transformed bdg hamiltonian on the two sides of the fermi surface .",[1 1 0 0 0],2,"the bogoliubov fermi surfaces are topologically protected by a z 2 invariant , which we have given explicitly in terms of the pfaffian of the bdg hamiltonian transformed into antisymmetric form .",[1 0 0 0 0],1,1,-1,1
211,millimeter wave communication is deemed as a promising technique for meeting the ever-increasing traffic demand in next generation wireless communication systems .,[1 1 0 0 0],2,wireless network densification is viewed as a promising approach to enable a 1000x improvement in wireless cellular network capacity .,[0 1 0 0 0],1,1,-1,0
214,its output frequency is locked to a high finesse optical cavity by the pound-dreverhall stabilization technique .,[1 1 0 0 0],2,the opo is locked by the pound-drever-hall technique with the s-polarized cavitylocking beam .,[1 0 0 0 0],1,1,1,1
216,this is accomplished in the following lemma .,[1 1 0 0 0],2,the source of noncompactness is contained in the following lemma .,[1 0 0 0 0],1,1,-1,1
217,"however , most of interesting distributed tasks can not be solved in a wait-free manner .",[1 1 0 0 0],2,"however , most interesting distributed tasks can not be solved in a wait-free manner .",[0 1 0 0 0],1,1,1,0
220,the initial weights throughout the network are initialized using the xavier initialization scheme .,[1 1 0 0 0],2,all the parameters of the decoder network are initialized with xavier .,[0 1 0 0 0],1,1,1,0
225,parity-check codes have become one of promising error-correcting codes in these areas due to their near capacity-approaching performance .,[0 1 0 0 0],1,low-density parity-check codes exhibit extraordinary performance under iterative decoding over a wide range of communication channels .,[0 0 0 0 0],0,1,-1,1
231,"a modulation of the fermi velocity can be obtained in graphene , for instance , by placing metallic planes close to the graphene sheet , which will turn electron-electron interactions weaker and , consequently , modify the fermi velocity .",[1 1 0 0 0],2,"the modulation of the fermi velocity can be obtained in graphene by placing metallic planes close to the graphene sheet , which will turn electron-electron interactions weaker and , consequently , modify the fermi velocity .",[1 0 0 0 0],1,1,-1,1
233,"bayesian networks or graphical models based on directed acyclic graphs are widely used to model complex causal systems arising from a variety of research areas , including computational biology , epidemiology , sociology , and environmental management .",[1 1 1 0 0],3,"directed acyclic graph models , also known as bayesian networks , are widely used to model causal relationships in complex systems across various fields such as computational biology , epidemiology , sociology , and environmental management .",[1 1 0 0 0],2,1,1,2
240,"being able to learn mid and high level features from the training data , convolutional neural networks have shown good recognition performances in many vision tasks , such as image classification and object detection .",[0 0 0 1 0],1,"i n recent years , deep convolutional neural networks have demonstrated an outstanding capability in various computer vision tasks , such as image classification .",[0 0 0 0 0],0,1,-1,3
241,deep neural networks have shown great success in computer vision and natural language processing tasks .,[0 1 0 0 0],1,"convolutional neural networks have achieved notable successes in a variety of visual recognition tasks , such as image classification .",[0 0 0 0 0],0,1,1,1
242,the schwarzschild solution is a useful model to describe the spacetime outside stars but the spacetime outside such a star may be filled with radiated energy from the star in the form of electromagnetic radiation .,[1 1 0 0 0],2,"the schwarzschild solution is a particular case of the metric that we use , when we have a .",[0 1 0 0 0],1,1,-1,0
246,"the dipolar condensate is the first example of a weakly interacting gas offering a possibility of obtaining a rotonmaxon dispersion , up to now only observed in the relatively more complicated physics of liquid he .",[1 1 0 0 0],2,"nt a dipolar condensate is a condensate possessing the dipole-dipole interactions , in addition to the usual swave contact interaction .",[0 1 0 0 0],1,1,1,0
254,recurrent neural networks have been shown to achieve promising results on many difficult sequential learning problems .,[0 1 0 0 0],1,deep neural networks have demonstrated impressive performance on many machine-learning tasks such as image recognition .,[0 0 0 0 0],0,1,-1,1
264,this counterterm is the fradkin-tseytlin term coupling the dilaton φ to the string worldsheet .,[1 1 0 0 0],2,this counterterm is a global one as it treats the ir divergences of the sum of all diagrams .,[0 1 0 0 0],1,1,1,0
273,in the pure c-phase the band disperses only in the z-direction and the dos is one-dimensional .,[1 1 0 1 0],3,in the canted c-phase the dos is quasi one-dimensional with peaks towards the band edges .,[1 1 0 0 0],2,1,1,3
279,"deep learning has proven successful in many domains , such as computer vision .",[0 1 0 0 0],1,"in recent years , deep neural networks have achieved significant breakthroughs in many machine learning tasks .",[0 0 0 0 0],0,1,1,1
286,"large scale multiple-input multiple-output systems , also known as massive mimo systems , are considered as a promising technology in modern wireless networks .",[1 1 1 0 1],4,large-scale multiple-input multiple-output systems are considered as one of the most promising technology for next generation wireless communication systems because of their considerable spatial multiplexing gains .,[1 1 1 0 0],3,1,-1,4
290,we make use of this dispersion relation to calculate the frequencies and the damping rates for monopole and quadrupole mode in both the regimes .,[0 1 0 0 0],1,"from this dispersion relation , we calculate the eigenfrequencies and damping rates for monopole and quadrupole mode .",[0 0 0 0 0],0,1,-1,1
296,convolutional neural networks have been largely responsible for the significant progress achieved on visual recognition tasks in recent years .,[0 1 0 0 0],1,deep convolutional neural networks have significantly improved the performance of computer vision systems .,[0 0 0 0 0],0,1,-1,1
298,the apparatus consist of davinci xyz positioning system with bridge mounted y-z slide .,[1 1 1 0 0],3,each apparatus consists of an interferometer with two outputs .,[1 1 0 0 0],2,1,-1,2
300,convolutional neural networks have recently been applied to various computer vision tasks such as image classification .,[1 1 0 0 0],2,"following their success in several computer vision tasks , neural networks have received considerable attention in the context of image processing .",[0 1 0 0 0],1,1,1,0
307,convolutional neural networks have been instrumental to the recent breakthroughs in computer vision .,[1 1 0 0 0],2,deep neural networks have been found to be quite effective for solving problems in the domain of computer vision .,[0 1 0 0 0],1,1,-1,0
314,"deep learning has brought significant breakthroughs in many computer vision tasks , including object detection .",[0 1 0 0 0],1,"in parallel , deep convolutional neural networks have proven their effectiveness in many computer vision fields such as object classification .",[0 0 0 0 0],0,1,-1,1
318,efficiency is the need for frequent retrieval or replacement of tabled answers .,[1 1 0 0 0],2,efficiency is a primary driver of cost for solar cells .,[0 1 0 0 0],1,1,1,0
322,this type of hierarchy was first considered in statistical physics and is sometimes known as the bogoliubovborn-green-kirkwood-yvon hierarchy .,[1 1 0 0 0],2,a hierarchal expansion of this type was first derived to describe the statistical physics of classical systems and is commonly referred to as the bbgky hierarchy .,[0 1 0 0 0],1,1,-1,0
327,vgg13 is a convolutional neural network inspired by the network proposed for image classification of the same name .,[1 1 0 0 0],2,"more specifically , the vgg16 network is a deep convolutional neural network that has been proved successful on classification tasks on imagenet .",[0 1 0 0 0],1,1,1,0
337,"alternatively , the exit functions of the constituent decoders and of the mud can be properly combined and projected into a two-dimensional chart .",[0 1 1 0 0],2,"alternatively , the exit functions of the constituent decoders can be properly combined and projected into a two-dimensional chart .",[0 1 0 0 0],1,1,-1,2
339,the next example is that of the axially symmetric graded index medium .,[1 1 1 0 0],3,"the second , and the more interesting example is that of the axially symmetric graded index medium .",[0 1 1 0 0],2,1,-1,0
341,we give an analytic and geometric interpretation of our holomorphic linking following the parallel with the real case .,[0 1 0 0 0],1,then we derive homological expressions for the holomorphic linking using the yoneda pairing .,[0 0 0 0 0],0,1,1,1
349,"deep convolutional neural networks have recently shown immense success for various image recognition tasks , such as object recognition .",[0 1 0 0 0],1,convolutional neural networks have achieved state-of-the-art performance on visual tasks such as image and video recognition in the last few years .,[0 0 0 0 0],0,1,-1,1
352,deep neural networks have been shown to be vulnerable to adversarial examples .,[1 1 0 0 0],2,"in the visual categorization field , convolutional neural networks were found to display intriguing vulnerabilities .",[0 1 0 0 0],1,1,-1,0
360,angular variation of the d-wave gap around the fermi surface is shown in the left panel .,[1 1 1 0 0],3,spectral gap around the fermi surface is plotted in the left panel .,[1 1 0 0 0],2,1,-1,2
362,the semigrand canonical ensemble is the best frame to investigate the phase be havior of a polydisperse hss .,[1 1 0 0 0],2,"the canonical ensemble is the central one , which has a precursor as micro canonical and a extension to grand canonical ensemble .",[0 1 0 0 0],1,1,1,0
372,using the concept of important separators as introduced by marx we prove that the number of separators which are relevant to the problem can be bounded polynomially in x .,[0 0 0 1 0],1,"following this , we argue that the notion of important separators introduced by marx can be used to essentially narrow down the search space of separators where we must search for a solution variable .",[0 0 0 0 0],0,1,-1,3
379,large deep neural networks trained on massive data sets have led to major advances in machine learning performance .,[0 0 1 0 0],1,deep neural networks have demonstrated significant performance improvements in a wide range of computer vision tasks .,[0 0 0 0 0],0,1,-1,2
386,the exchangecorrelation functional is approximated within the local density approximation .,[1 1 0 0 0],2,most of these conditions are satisfied by the local density approximation .,[1 0 0 0 0],1,1,1,1
393,the perdew-burke-ernzehof form of the generalized gradient approximation is used to describe electron exchange and correlation .,[0 1 1 0 0],2,the generalized gradient approximation was used with the perdewburke-ernzerhof functional to describe the exchange-correlation interaction .,[0 1 0 0 0],1,1,1,2
394,each convolutional layer is followed by a batch normalization layer .,[1 1 0 0 0],2,the batch normalization layers are inserted before every relu layer to accelerate the convergence .,[0 1 0 0 0],1,1,1,0
395,"following the tradition of the traffic signal control study , we conduct experiments in a simulation platform sumo 3 .",[0 1 0 1 0],2,"following the tradition of the traffic signal control study , we conduct experiments on sumo 1 .",[0 0 0 1 0],1,1,-1,1
397,"collective behaviors of many-particle systems are ubiquitous in our nature , eg , flocking of birds , flashing of fireflies , swarming of fishes and herding of sheep , etc .",[0 1 1 0 0],2,"collective behaviors of multi-agent systems are ubiquitous in the nature , like flocking of birds , synchronization of oscillators , herding of sheeps and alignment of robots , etc .",[0 1 0 0 0],1,1,1,2
398,"over the past few years , deep convolutional neural networks have been very successful in a wide range of computer vision tasks such as image classification .",[0 1 0 0 0],1,"deep networks have been applied to almost all computer vision tasks and have achieved state-of-the-art performances , such as image classification .",[0 0 0 0 0],0,1,1,1
405,"quantum computers have the potential to solve a number of important problems , including integer factorization asymptotically faster than the best known classical algorithms .",[0 1 0 0 0],1,quantum computers are appealing for their ability to solve certain type of problems more effectively than in the classical setting .,[0 0 0 0 0],0,1,-1,1
409,"in this context , mimo architectures and artificial-noise -aided secure transmissions have been widely adopted to enhance the secrecy performance of wireless communications .",[1 1 1 0 0],3,physical layer security has become a popular way to improve the secrecy performance of wireless communication systems by utilizing wireless channel characteristics .,[1 1 0 0 0],2,1,1,2
416,the generalizedgradient approximation of perdew-burke-ernzerhof is employed as the exchange-correlation functional .,[1 1 1 0 0],3,"in the standard dft , the generalized gradi-ent approximation of perdew-burke-ernzerhof version is adopted to describe the electronic exchange-correlation interactions .",[0 1 1 0 0],2,1,-1,0
419,"the first results were obtained by huneke and sharp who proved that if r is a regular ring containing a field of prime characteristic , then the set of associated prime ideals of h n a is finite , .",[1 0 0 0 0],1,huneke and sharp proved that if r is a regular ring which either contains a field or is unramified then hn i has only finitely many associated primes for any ideal i of r and any integer n .,[0 0 0 0 0],0,1,-1,0
421,"recently , the methods which combine deep neural networks and reinforcement learning have achieved remarkable performance on many tasks such as atari games .",[0 0 1 0 0],1,recently deep reinforcement learning has achieved very impressive results and beyond human performance on several complex long-horizon games such as alphago .,[0 0 0 0 0],0,1,-1,2
422,deep neural networks have shown considerable capabilities for handling specific complex tasks such as speech recognition .,[0 1 0 0 0],1,deep convolutional neural networks have achieved great success in various computer vision tasks such as image classification .,[0 0 0 0 0],0,1,-1,1
425,"among these methods , one inspiring us is , which adopts an em learning algorithm for training the model with image-level semantic labels .",[1 0 0 0 0],1,"among these methods , the one that inspires us is , which adopted an em learning algorithm for training the model with image-level semantic labels .",[0 0 0 0 0],0,1,-1,0
427,"because the inflaton is expected to 15 consist of one of these moduli , the threshold correction changes the dependence of the inflationary energy on the inflaton vev , altering the slow-roll parameters and creating an eta problem .",[1 1 0 1 0],3,the inflaton is a scalar field introduced to address the homogeneity and flatness problems through accelerated expansion in the early universe .,[1 1 0 0 0],2,1,1,3
430,a detailed description of the atlas and cms detectors can be found elsewhere .,[1 1 1 0 0],3,a detailed description of the cms detector can be found elsewhere .,[1 1 0 0 0],2,1,1,2
433,the impact of the proton pdf uncertainties on the signal efficiency is evaluated with the pdf4lhc prescription pdf sets .,[1 1 1 0 0],3,the uncertainty on the signal cross section due to pdf uncertainties has been determined using the pdf4lhc prescription .,[0 1 1 0 0],2,1,1,0
441,exchange and correlation were treated in the generalized gradient approximation as parameterized in the perdew-burke-ernzerhof functional .,[1 1 0 0 0],2,the exchange correlation energy was described by the generalized gradient approximation using the perdew-burke-ernzerhof functional .,[1 0 0 0 0],1,1,-1,1
448,"the lightest neutralino , if it is the lsp , is the plausible candidate for the cdm .",[1 1 0 0 1],3,"the neutralino is a majorana fermion , so it coincides with its own antiparticle , and it is a weak interacting particle .",[1 1 0 0 0],2,1,-1,4
450,"by solving the evolution equations with the calculated evolution kernels , we derive the virtual photon fragmentation functions .",[0 0 0 1 0],1,we calculate the leading order evolution kernels for the evolution equations and derive the virtual photon fragmentation functions by solving the evolution equations numerically .,[0 0 0 0 0],0,1,-1,3
459,deep learning is widely used in machine learning for various tasks .,[1 1 0 0 0],2,this kind of computation is predominant in machine learning .,[0 1 0 0 0],1,1,1,0
461,"the celebfaces attribute dataset contains 202,599 face images with large pose variations and background clutter .",[1 0 0 0 0],1,"celeba dataset contains 202,599 face images , each annotated with 40 boolean attributes .",[0 0 0 0 0],0,1,-1,0
471,gradual typing enables programmers to gradually evolve their programs from the flexibility of dynamic typing to the security of static typing .,[1 1 0 0 0],2,"gradual typing allows developers to evolve their programs from the dynamic to the typed discipline , gradually .",[1 0 0 0 0],1,1,-1,1
489,"deep neural networks have been adopted to improve the performance of state-of-the-arts on a wide variety of tasks in computer vision , including image classification .",[0 1 0 0 0],1,deep convolutional neural networks have achieved dramatic accuracy improvements in many areas of computer vision .,[0 0 0 0 0],0,1,1,1
491,the standard adam optimizer with the default parameters is employed to train our model for 80 epoches .,[0 1 0 0 0],1,"for the training of vsrn , we use the adam optimizer to train the model with 30 epochs .",[0 0 0 0 0],0,1,1,1
494,"in addition , the input object proposals are provided by selective search .",[1 1 0 0 0],2,the general object proposals are generated by the selective search algorithm .,[1 0 0 0 0],1,1,1,1
503,"for any fixed positive integer k , gordon and ono proved that the number of partitions of n into distinct parts is divisible by 2 k for almost all n .",[1 0 0 0 0],1,gordon and ono proved that the number of partitions of n into distinct parts is divisible by 2 k for almost all n .,[0 0 0 0 0],0,1,-1,0
505,"convolutional neural networks have made great progress in various fields , such as object classification , detection and character recognition .",[1 1 0 0 0],2,deep neural networks have given rise to major advancements in many problems of machine intelligence .,[0 1 0 0 0],1,1,-1,0
512,the 122zr isotope is the last stable nucleus against two neutron emission .,[1 1 0 0 0],2,the isotope is a beta emitter with an energy endpoint of 565 kev .,[0 1 0 0 0],1,1,1,0
514,deep neural networks have made great strides in many computer vision tasks such as image classification .,[0 1 0 0 0],1,deep convolutional neural networks have led to major breakthroughs in many computer vision tasks .,[0 0 0 0 0],0,1,1,1
524,"the composite system is a superposition of these systems , the power in the sparse system is normalised to γ and in the dense code to 1 γ .",[1 1 0 1 0],3,"a composite system is a system which consists of two or more parts , and the simplest one is a system consisting of two qubits .",[1 1 0 0 0],2,1,-1,3
531,the proof of this result relies substantially on a useful result from negahban et al .,[1 1 0 0 0],2,the proof is inspired by the elegant treatment of negahban et al .,[1 0 0 0 0],1,1,-1,1
535,"as a solution to mitigate the effect of error propagation , mf strategy has been proposed in for sic based mimo detection .",[1 1 0 1 0],3,"recently , a multiple feedback strategy is proposed in for sic based mimo detection .",[1 1 0 0 0],2,1,1,3
548,"deep neural networks are able to achieve stateof-the-art performance in many cognitive applications , including computer vision .",[0 1 0 0 0],1,"recently , deep neural networks achieve excellent performance on difficult problems such as speech recognition .",[0 0 0 0 0],0,1,-1,1
554,"nsamp is the number of samples , ie , sets of disorder realizations , nsweep is the total number of sweeps simulated for each of the 2nt replicas for a single sample , and nt is the number of temperatures used in the parallel tempering method .",[1 1 0 1 0],3,"nsamp is the number of samples , nequil is the number of sweeps for equilibration and nmeas is the number of sweeps for measurements for each of the 2nt replicas for a single sample .",[1 1 0 0 0],2,1,1,3
556,"in particular , convolutional neural networks has been popular in vision and audio recognition areas .",[1 1 0 0 0],2,deep convolutional neural networks have made significant breakthroughs in many visual understanding tasks including image classification .,[0 1 0 0 0],1,1,-1,0
558,deep neural networks have shown tremendous success in several computer vision tasks in recent years .,[0 1 0 0 0],1,convolutional neural networks have witnessed great improvement on a series of vision tasks such as object classification .,[0 0 0 0 0],0,1,-1,1
561,deep neural networks have made great strides in many computer vision tasks such as image classification .,[0 1 0 0 0],1,deep learning or deep neural networks have achieved extraordinary performance in many application domains such as image classification .,[0 0 0 0 0],0,1,1,1
570,deep convolutional neural networks have been successful in many computer vision tasks including image classification .,[0 1 0 0 0],1,"supervised deep learning has played a crucial role in recent developments in several computer vision tasks , eg , object recognition .",[0 0 0 0 0],0,1,1,1
584,contextual word representations have recently been used to achieve state-of-the-art performance across a range of language understanding tasks .,[1 1 0 0 0],2,large-scale language models have been shown to dramatically improve the performance of natural language understanding systems on a broad range of tasks .,[0 1 0 0 0],1,1,1,0
587,"deep model-free reinforcement learning has had great successes in recent years , notably in playing video games .",[0 1 0 0 0],1,"in recent years , reinforcement learning has achieved great breakthrough in many domains including robot controlling and game playing .",[0 0 0 0 0],0,1,-1,1
601,"to match the predicted sequence length to the reference sequence length for all comparisons , we use the dynamic time warping algorithm .",[0 0 0 1 0],1,"for all comparisons , we use dynamic time warping to match the predicted to the reference sequence length .",[0 0 0 0 0],0,1,1,3
603,a striking example of this is an incredibly successful observation of grb080319b that was led with russian-italian experiment tortora .,[1 1 0 0 0],2,a striking example is the incredibly successful observation of grb080319b that was performed within the framework of the russian-italian experiment tortora .,[0 1 0 0 0],1,1,1,0
607,convolutional neural networks have achieved great success on visual recognition tasks .,[0 1 0 0 0],1,convolutional neural networks have achieved state-of-the-art accuracy in computer vision tasks such as image recognition .,[0 0 0 0 0],0,1,-1,1
615,large amounts of training data and increased computing power have lead to recent successes of deep architectures on diverse computer vision tasks .,[0 0 1 0 0],1,deep convolutional neural networks have already achieved tremendous success on a variety of computer vision tasks such as image classification among many others .,[0 0 0 0 0],0,1,-1,2
619,the concept of capsules was first introduced by hinton et al as a method for learning robust unsupervised representation of images .,[1 0 0 0 0],1,hinton et al proposed the concept of capsules as an effective method of learning representations .,[0 0 0 0 0],0,1,-1,0
621,"the features learned from deep convolutional networks have been used for many computer vision tasks such as image recognition , object detection , and image segmentation .",[1 1 0 0 0],2,the effectiveness of the deep convolutional neural networks has been demonstrated for various computer vision tasks such as image classification and so on .,[0 1 0 0 0],1,1,-1,0
640,"for generic object detection , deep learning has been a great success .",[0 1 0 0 0],1,deep learning based models have achieved great advances in object detection in recent years .,[0 0 0 0 0],0,1,1,1
646,deep convolutional neural networks have been successful in many computer vision tasks including image classification .,[0 1 0 0 0],1,"in recent years , deep convolutional neural networks have achieved great success in object detection .",[0 0 0 0 0],0,1,-1,1
650,"this region is characterized by delocalized , band-electron-like states .",[1 1 0 0 0],2,this region is characterized by localized polaronic states .,[1 0 0 0 0],1,1,-1,1
651,the geometry associated with the scalars in this model is known as special geometry .,[1 1 1 0 0],3,"the geometry is the deformed conifold with a cons3 , formal factor .",[1 1 0 0 0],2,1,1,2
652,"if the higgs boson will be found is the mass of the lightest at the next generation of colliders , its mass will be measured with high precision .",[1 1 0 1 0],3,the higgs boson is the only sm particle that has not yet been discovered .,[1 1 0 0 0],2,1,1,3
